0001;233168
0002;4613732
0003;6857
0004;906609
0005;232792560
0006;25164150
0007;104743
0008;23514624000
0009;31875000
0010;142913828922
0011;70600674
0012;76576500
0013;5537376230
0014;837799
0015;137846528820
0016;1366
0017;21124
0018;1074
0019;171
0020;648
0021;31626
0022;871198282
0023;4179871
0024;2783915460
0025;4782
0026;983
0027;-59231
0028;669171001
0029;9183
0030;443839
0031;73682
0032;45228
0033;100
0034;40730
0035;55
0036;872187
0037;748317
0038;932718654
0039;840
0040;210
0041;7652413
0042;162
0043;16695334890
0044;5482660
0045;1533776805
0046;5777
0047;134043
0048;9110846700
0049;296962999629
0050;997651
0051;121313
0052;142857
0053;4075
0054;376
0055;249
0056;972
0057;153
0058;26241
0059;129448
0060;26033
0061;28684
0062;127035954683
0063;49
0064;1322
0065;272
0066;661
0067;7273
0068;6531031914842725
0069;510510
0070;8319823
0071;428570
0072;303963552391
0073;7295372
0074;402
0075;161667
0076;190569291
0077;71
0078;55374
0079;73162890
0080;40886
0081;427337
0082;260324
0083;425185
0084;101524
0085;2772
0086;1818
0087;1097343
0088;7587457
0089;743
0090;1217
0091;14234
0092;8581146
0093;1258
0094;518408346
0095;14316
0096;24702
0097;8739992577
0098;18769
0099;709
0100;756872327473
0101;37076114526
0102;228
0103;20313839404245
0104;329468
0105;73702
0106;21384
0107;259679
0108;180180
0109;38182
0110;9350130049860600
0111;612407567715
0112;1587000
0113;51161058134250
0114;16475640049
0115;168
0116;20492570929
0117;100808458960497
0118;44680
0119;248155780267521
0120;333082500
0121;2269
0122;1582
0123;21035
0124;21417
0125;2906969179
0126;18522
0127;18407904
0128;14516824220
0129;1000023
0130;149253
0131;173
0132;843296
0133;453647705
0134;18613426663617118
0135;4989
0136;2544559
0137;1120149658760
0138;1118049290473932
0139;10057761
0140;5673835352990
0141;878454337159
0142;1006193
0143;30758397
0144;354
0145;608720
0146;676333270
0147;846910284
0148;2129970655314432
0149;52852124
0150;-271248680
0151;0.464399
0152;301
0153;17971254122360635
0154;479742450
0155;3857447
0156;21295121502550
0157;53490
0158;409511334375
0159;14489159
0160;16576
0161;20574308184277971
0162;3D58725572C62302
0163;343047
0164;378158756814587
0165;2868868
0166;7130034
0167;3916160068885
0168;59206
0169;178653872807
0170;9857164023
0171;142989277
0172;227485267000992000
0173;1572729
0174;209566
0175;1,13717420,8
0176;96818198400000
0177;129325
0178;126461847755
0179;986262
0180;285196020571078987
0181;83735848679360680
0182;399788195976
0183;48861552
0184;1725323624056
0185;4640261571849533
0186;2325629
0187;17427258
0188;95962097
0189;10834893628237824
0190;371048281
0191;1918080160
0192;57060635927998347
0193;684465067343069
0194;61190912
0195;75085391
0196;322303240771079935
0197;1.710637717
